series,section,number,name,en_name,price,image_url
ST02,SR,ST02-009,トラファルガー・ロー,Trafalgar Law,120 円,https://card.yuyu-tei.jp/opc/100_140/st02/10009.jpg
ST02,SR,ST02-013,ユースタス・キッド,"Eustass""Captain""Kid",120 円,https://card.yuyu-tei.jp/opc/100_140/st02/10013.jpg
ST02,C,ST02-002,ヴィト,Vito,80 円,https://card.yuyu-tei.jp/opc/100_140/st02/10002.jpg
ST02,C,ST02-003,ウルージ,Urouge,80 円,https://card.yuyu-tei.jp/opc/100_140/st02/10003.jpg
ST02,C,ST02-004,カポネ・ベッジ,"Capone""Gang""Bege",50 円,https://card.yuyu-tei.jp/opc/100_140/st02/10004.jpg
ST02,C,ST02-005,キラー,Killer,80 円,https://card.yuyu-tei.jp/opc/100_140/st02/10005.jpg
ST02,C,ST02-006,コビー,Koby,80 円,https://card.yuyu-tei.jp/opc/100_140/st02/10006.jpg
ST02,C,ST02-007,ジュエリー・ボニー,Jewelry Bonney,120 円,https://card.yuyu-tei.jp/opc/100_140/st02/10007.jpg
ST02,C,ST02-008,スクラッチメン・アプー,Scratchmen Apoo,120 円,https://card.yuyu-tei.jp/opc/100_140/st02/10008.jpg
ST02,C,ST02-010,バジル・ホーキンス,Basil Hawkins,120 円,https://card.yuyu-tei.jp/opc/100_140/st02/10010.jpg
ST02,C,ST02-011,ヒート,Heat,80 円,https://card.yuyu-tei.jp/opc/100_140/st02/10011.jpg
ST02,C,ST02-012,ベポ,Bepo,80 円,https://card.yuyu-tei.jp/opc/100_140/st02/10012.jpg
ST02,C,ST02-014,X・ドレーク,X.Drake,80 円,https://card.yuyu-tei.jp/opc/100_140/st02/10014.jpg
ST02,C,ST02-015,メス,Scalpel,80 円,https://card.yuyu-tei.jp/opc/100_140/st02/10015.jpg
ST02,C,ST02-016,反発,Repel,80 円,https://card.yuyu-tei.jp/opc/100_140/st02/10016.jpg
ST02,C,ST02-017,藁備手刀,Straw Sword,80 円,https://card.yuyu-tei.jp/opc/100_140/st02/10017.jpg
ST02,L,ST02-001,ユースタス・キッド,"Eustass""Captain""Kid",120 円,https://card.yuyu-tei.jp/opc/100_140/st02/10001.jpg
ST02,L,ST02-001,ユースタス・キッド(パラレル),"Eustass""Captain""Kid",220 円,https://card.yuyu-tei.jp/opc/100_140/st02/10018.jpg
ST05,SR,ST05-004,ウタ,Uta,220 円,https://card.yuyu-tei.jp/opc/100_140/st05/10004.jpg
ST05,SR,ST05-011,ダグラス・バレット,Douglas Bullet,120 円,https://card.yuyu-tei.jp/opc/100_140/st05/10011.jpg
ST05,C,ST05-002,アイン,Ain,80 円,https://card.yuyu-tei.jp/opc/100_140/st05/10002.jpg
ST05,C,ST05-003,アン,Ann,80 円,https://card.yuyu-tei.jp/opc/100_140/st05/10003.jpg
ST05,C,ST05-005,カリーナ,Carina,120 円,https://card.yuyu-tei.jp/opc/100_140/st05/10005.jpg
ST05,C,ST05-006,ギルド・テゾーロ,Gild Tesoro,120 円,https://card.yuyu-tei.jp/opc/100_140/st05/10006.jpg
ST05,C,ST05-007,ゴードン,Gordon,80 円,https://card.yuyu-tei.jp/opc/100_140/st05/10007.jpg
ST05,C,ST05-008,シキ,Shiki,80 円,https://card.yuyu-tei.jp/opc/100_140/st05/10008.jpg
ST05,C,ST05-009,スカーレット,Scarlet,80 円,https://card.yuyu-tei.jp/opc/100_140/st05/10009.jpg
ST05,C,ST05-010,ゼット,Zephyr,80 円,https://card.yuyu-tei.jp/opc/100_140/st05/10010.jpg
ST05,C,ST05-012,バカラ,Baccarat,80 円,https://card.yuyu-tei.jp/opc/100_140/st05/10012.jpg
ST05,C,ST05-013,ビンズ,Bins,80 円,https://card.yuyu-tei.jp/opc/100_140/st05/10013.jpg
ST05,C,ST05-014,ブエナ・フェスタ,Buena Festa,120 円,https://card.yuyu-tei.jp/opc/100_140/st05/10014.jpg
ST05,C,ST05-015,Dr.インディゴ,Dr. Indigo,80 円,https://card.yuyu-tei.jp/opc/100_140/st05/10015.jpg
ST05,C,ST05-016,獅子威し御所地巻き,Lion's Threat Imperial Earth Bind,120 円,https://card.yuyu-tei.jp/opc/100_140/st05/10016.jpg
ST05,C,ST05-017,鎧合体,Union Armada,80 円,https://card.yuyu-tei.jp/opc/100_140/st05/10017.jpg
ST05,L,ST05-001,シャンクス,Shanks,120 円,https://card.yuyu-tei.jp/opc/100_140/st05/10001.jpg
ST06,SR,ST06-012,モンキー・D・ガープ,Monkey.D.Garp,220 円,https://card.yuyu-tei.jp/opc/100_140/st06/10012.jpg
ST06,C,ST06-002,コビー,Koby,80 円,https://card.yuyu-tei.jp/opc/100_140/st06/10002.jpg
ST06,C,ST06-003,ジャンゴ,Jango,80 円,https://card.yuyu-tei.jp/opc/100_140/st06/10003.jpg
ST06,C,ST06-005,センゴク,Sengoku,80 円,https://card.yuyu-tei.jp/opc/100_140/st06/10005.jpg
ST06,C,ST06-006,たしぎ,Tashigi,120 円,https://card.yuyu-tei.jp/opc/100_140/st06/10006.jpg
ST06,C,ST06-007,つる,Tsuru,80 円,https://card.yuyu-tei.jp/opc/100_140/st06/10007.jpg
ST06,C,ST06-008,ヒナ,Hina,80 円,https://card.yuyu-tei.jp/opc/100_140/st06/10008.jpg
ST06,C,ST06-009,フルボディ,Fullbody,80 円,https://card.yuyu-tei.jp/opc/100_140/st06/10009.jpg
ST06,C,ST06-010,ヘルメッポ,Helmeppo,80 円,https://card.yuyu-tei.jp/opc/100_140/st06/10010.jpg
ST06,C,ST06-011,モモンガ,Momonga,80 円,https://card.yuyu-tei.jp/opc/100_140/st06/10011.jpg
ST06,C,ST06-013,Tボーン,T-Bone,80 円,https://card.yuyu-tei.jp/opc/100_140/st06/10013.jpg
ST06,C,ST06-014,衝撃波,Shockwave,80 円,https://card.yuyu-tei.jp/opc/100_140/st06/10014.jpg
ST06,C,ST06-015,大噴火,Great Eruption,120 円,https://card.yuyu-tei.jp/opc/100_140/st06/10015.jpg
ST06,C,ST06-016,ホワイト・アウト,White Out,80 円,https://card.yuyu-tei.jp/opc/100_140/st06/10016.jpg
ST06,C,ST06-017,海軍本部,Navy HQ,80 円,https://card.yuyu-tei.jp/opc/100_140/st06/10017.jpg
ST06,L,ST06-001,サカズキ,Sakazuki,80 円,https://card.yuyu-tei.jp/opc/100_140/st06/10001.jpg
ST10,SR,ST10-006,モンキー・D・ルフィ,Monkey.D.Luffy,220 円,https://card.yuyu-tei.jp/opc/100_140/st10/10006.jpg
ST10,SR,ST10-010,トラファルガー・ロー,Trafalgar Law,120 円,https://card.yuyu-tei.jp/opc/100_140/st10/10010.jpg
ST10,SR,ST10-013,ユースタス・キッド,"Eustass""Captain""Kid",220 円,https://card.yuyu-tei.jp/opc/100_140/st10/10013.jpg
ST10,SR,OP01-025,ロロノア・ゾロ(パラレル),Roronoa Zoro,220 円,https://card.yuyu-tei.jp/opc/100_140/st10/10019.jpg
ST10,R,OP01-016,ナミ(パラレル),Nami,120 円,https://card.yuyu-tei.jp/opc/100_140/st10/10018.jpg
ST10,C,ST10-004,サンジ,Sanji,80 円,https://card.yuyu-tei.jp/opc/100_140/st10/10004.jpg
ST10,C,ST10-005,ジンベエ,Jinbe,220 円,https://card.yuyu-tei.jp/opc/100_140/st10/10005.jpg
ST10,C,ST10-007,キラー,Killer,80 円,https://card.yuyu-tei.jp/opc/100_140/st10/10007.jpg
ST10,C,ST10-008,シャチ＆ペンギン,Shachi & Penguin,80 円,https://card.yuyu-tei.jp/opc/100_140/st10/10008.jpg
ST10,C,ST10-009,ジャンバール,Jean Bart,80 円,https://card.yuyu-tei.jp/opc/100_140/st10/10009.jpg
ST10,C,ST10-011,ヒート,Heat,80 円,https://card.yuyu-tei.jp/opc/100_140/st10/10011.jpg
ST10,C,ST10-012,ベポ,Bepo,80 円,https://card.yuyu-tei.jp/opc/100_140/st10/10012.jpg
ST10,C,ST10-014,ワイヤー,Wire,80 円,https://card.yuyu-tei.jp/opc/100_140/st10/10014.jpg
ST10,C,ST10-015,ゴムゴムの巨人つっぱり,Gum-Gum Giant Sumo Slap,120 円,https://card.yuyu-tei.jp/opc/100_140/st10/10015.jpg
ST10,C,ST10-016,ゴムゴムの猿王銃乱打,Gum-Gum Kong Gatling,120 円,https://card.yuyu-tei.jp/opc/100_140/st10/10016.jpg
ST10,C,ST10-017,磁気万力,Punk Vise,120 円,https://card.yuyu-tei.jp/opc/100_140/st10/10017.jpg
ST10,L,ST10-001,トラファルガー・ロー,Trafalgar Law,220 円,https://card.yuyu-tei.jp/opc/100_140/st10/10001.jpg
ST10,L,ST10-002,モンキー・D・ルフィ,Monkey.D.Luffy,980 円,https://card.yuyu-tei.jp/opc/100_140/st10/10002.jpg
ST10,L,ST10-003,ユースタス・キッド,"Eustass""Captain""Kid",220 円,https://card.yuyu-tei.jp/opc/100_140/st10/10003.jpg
ST11,SR,ST11-002,ウタ,Uta,220 円,https://card.yuyu-tei.jp/opc/100_140/st11/10002.jpg
ST11,SR,ST11-004,新時代,New Genesis,120 円,https://card.yuyu-tei.jp/opc/100_140/st11/10004.jpg
ST11,R,OP02-040,ブルック(ホロなし),Brook,80 円,https://card.yuyu-tei.jp/opc/100_140/st11/10006.jpg
ST11,R,OP02-041,モンキー・Ｄ・ルフィ(ホロなし),Monkey.D.Luffy,80 円,https://card.yuyu-tei.jp/opc/100_140/st11/10007.jpg
ST11,C,ST11-003,逆光,Backlight,120 円,https://card.yuyu-tei.jp/opc/100_140/st11/10003.jpg
ST11,C,ST11-005,私は最強,I'm invincible,80 円,https://card.yuyu-tei.jp/opc/100_140/st11/10005.jpg
ST11,L,ST11-001,ウタ,Uta,120 円,https://card.yuyu-tei.jp/opc/100_140/st11/10001.jpg
ST12,SR,ST12-003,ジュラキュール・ミホーク,Dracule Mihawk,320 円,https://card.yuyu-tei.jp/opc/100_140/st12/10003.jpg
ST12,SR,ST12-010,エンポリオ・イワンコフ,Emporio.Ivankov,320 円,https://card.yuyu-tei.jp/opc/100_140/st12/10010.jpg
ST12,C,ST12-002,くいな,Kuina,50 円,https://card.yuyu-tei.jp/opc/100_140/st12/10002.jpg
ST12,C,ST12-004,ヒューマンドリル,Humandrill,50 円,https://card.yuyu-tei.jp/opc/100_140/st12/10004.jpg
ST12,C,ST12-005,ペローナ,Perona,50 円,https://card.yuyu-tei.jp/opc/100_140/st12/10005.jpg
ST12,C,ST12-006,ヨサク＆ジョニー,Yosaku & Johnny,50 円,https://card.yuyu-tei.jp/opc/100_140/st12/10006.jpg
ST12,C,ST12-007,リカ,Rika,50 円,https://card.yuyu-tei.jp/opc/100_140/st12/10007.jpg
ST12,C,ST12-008,ロロノア・ゾロ,Roronoa Zoro,120 円,https://card.yuyu-tei.jp/opc/100_140/st12/10008.jpg
ST12,C,ST12-009,エレファント・ホンマグロ,Elephant True Bluefin,50 円,https://card.yuyu-tei.jp/opc/100_140/st12/10009.jpg
ST12,C,ST12-011,サンジ,Sanji,80 円,https://card.yuyu-tei.jp/opc/100_140/st12/10011.jpg
ST12,C,ST12-012,シャーロット・プリン,Charlotte Pudding,120 円,https://card.yuyu-tei.jp/opc/100_140/st12/10012.jpg
ST12,C,ST12-013,ゼフ,Zeff,50 円,https://card.yuyu-tei.jp/opc/100_140/st12/10013.jpg
ST12,C,ST12-014,デュバル,Duval,80 円,https://card.yuyu-tei.jp/opc/100_140/st12/10014.jpg
ST12,C,ST12-015,パティ＆カルネ,Patty & Carne,50 円,https://card.yuyu-tei.jp/opc/100_140/st12/10015.jpg
ST12,C,ST12-016,獅子歌歌,Lion Strike,80 円,https://card.yuyu-tei.jp/opc/100_140/st12/10016.jpg
ST12,C,ST12-017,整形ショット,Plastic Surgery Shot,80 円,https://card.yuyu-tei.jp/opc/100_140/st12/10017.jpg
ST12,L,ST12-001,ロロノア・ゾロ＆サンジ,Roronoa Zoro & Sanji,980 円,https://card.yuyu-tei.jp/opc/100_140/st12/10001.jpg
ST19,SR,ST19-003,たしぎ,Tashigi,220 円,https://card.yuyu-tei.jp/opc/100_140/st19/10003.jpg
ST19,SR,ST19-004,ヒナ,Hina,220 円,https://card.yuyu-tei.jp/opc/100_140/st19/10004.jpg
ST19,R,OP02-098,コビー(ホロなし),Koby,50 円,https://card.yuyu-tei.jp/opc/100_140/st19/10007.jpg
ST19,R,OP03-089,ブランニュー(ホロなし),Brannew,50 円,https://card.yuyu-tei.jp/opc/100_140/st19/10008.jpg
ST19,C,ST19-001,スモーカー,Smoker,50 円,https://card.yuyu-tei.jp/opc/100_140/st19/10001.jpg
ST19,C,ST19-002,センゴク,Sengoku,50 円,https://card.yuyu-tei.jp/opc/100_140/st19/10002.jpg
ST19,C,ST19-005,モンキー・D・ガープ,Monkey.D.Garp,50 円,https://card.yuyu-tei.jp/opc/100_140/st19/10005.jpg
ST19,L,OP02-093,スモーカー,Smoker,50 円,https://card.yuyu-tei.jp/opc/100_140/st19/10006.jpg
ST20,SR,ST20-001,シャーロット・カタクリ,Charlotte Katakuri,220 円,https://card.yuyu-tei.jp/opc/100_140/st20/10001.jpg
ST20,SR,ST20-005,シャーロット・リンリン,Charlotte Linlin,220 円,https://card.yuyu-tei.jp/opc/100_140/st20/10005.jpg
ST20,R,OP03-110,シャーロット・スムージー(ホロなし),Charlotte Smoothie,50 円,https://card.yuyu-tei.jp/opc/100_140/st20/10007.jpg
ST20,R,OP03-112,シャーロット・プリン(ホロなし),Charlotte Pudding,50 円,https://card.yuyu-tei.jp/opc/100_140/st20/10008.jpg
ST20,R,OP03-115,シュトロイゼン(ホロなし),Streusen,50 円,https://card.yuyu-tei.jp/opc/100_140/st20/10009.jpg
ST20,C,ST20-002,シャーロット・クラッカー,Charlotte Cracker,50 円,https://card.yuyu-tei.jp/opc/100_140/st20/10002.jpg
ST20,C,ST20-003,シャーロット・ブリュレ,Charlotte Brulee,50 円,https://card.yuyu-tei.jp/opc/100_140/st20/10003.jpg
ST20,C,ST20-004,シャーロット・プリン,Charlotte Pudding,50 円,https://card.yuyu-tei.jp/opc/100_140/st20/10004.jpg
ST20,L,OP03-099,シャーロット・カタクリ,Charlotte Katakuri,50 円,https://card.yuyu-tei.jp/opc/100_140/st20/10006.jpg
ST22,P-SR,ST22-002,イゾウ(パラレル),Izo,"3,980 円",https://card.yuyu-tei.jp/opc/100_140/st22/10004.jpg
ST22,P-SR,ST22-005,光月おでん(パラレル),Kouzuki Oden,"1,980 円",https://card.yuyu-tei.jp/opc/100_140/st22/10010.jpg
ST22,SR,ST22-002,イゾウ,Izo,780 円,https://card.yuyu-tei.jp/opc/100_140/st22/10003.jpg
ST22,SR,ST22-005,光月おでん,Kouzuki Oden,120 円,https://card.yuyu-tei.jp/opc/100_140/st22/10009.jpg
ST22,P-C,ST22-003,エドワード・ニューゲート(パラレル),Edward.Newgate,500 円,https://card.yuyu-tei.jp/opc/100_140/st22/10006.jpg
ST22,P-C,ST22-004,エルミー(パラレル),Elmy,220 円,https://card.yuyu-tei.jp/opc/100_140/st22/10008.jpg
ST22,P-C,ST22-006,ジョズ(パラレル),Jozu,320 円,https://card.yuyu-tei.jp/opc/100_140/st22/10012.jpg
ST22,P-C,ST22-007,スクアード(パラレル),Squard,500 円,https://card.yuyu-tei.jp/opc/100_140/st22/10014.jpg
ST22,P-C,ST22-008,ディカルバン兄弟(パラレル),Decalvan Brothers,220 円,https://card.yuyu-tei.jp/opc/100_140/st22/10016.jpg
ST22,P-C,ST22-009,ビスタ(パラレル),Vista,980 円,https://card.yuyu-tei.jp/opc/100_140/st22/10018.jpg
ST22,P-C,ST22-010,ポートガス・D・エース(パラレル),Portgas.D.Ace,"1,280 円",https://card.yuyu-tei.jp/opc/100_140/st22/10020.jpg
ST22,P-C,ST22-011,ホワイティベイ(パラレル),Whitey Bay,780 円,https://card.yuyu-tei.jp/opc/100_140/st22/10022.jpg
ST22,P-C,ST22-012,マルコ(パラレル),Marco,780 円,https://card.yuyu-tei.jp/opc/100_140/st22/10024.jpg
ST22,P-C,ST22-013,リトルオーズJr.(パラレル),LittleOars Jr.,320 円,https://card.yuyu-tei.jp/opc/100_140/st22/10026.jpg
ST22,P-C,ST22-014,A・O(パラレル),A.O.,320 円,https://card.yuyu-tei.jp/opc/100_140/st22/10028.jpg
ST22,C,ST22-003,エドワード・ニューゲート,Edward.Newgate,50 円,https://card.yuyu-tei.jp/opc/100_140/st22/10005.jpg
ST22,C,ST22-004,エルミー,Elmy,50 円,https://card.yuyu-tei.jp/opc/100_140/st22/10007.jpg
ST22,C,ST22-006,ジョズ,Jozu,50 円,https://card.yuyu-tei.jp/opc/100_140/st22/10011.jpg
ST22,C,ST22-007,スクアード,Squard,120 円,https://card.yuyu-tei.jp/opc/100_140/st22/10013.jpg
ST22,C,ST22-008,ディカルバン兄弟,Decalvan Brothers,50 円,https://card.yuyu-tei.jp/opc/100_140/st22/10015.jpg
ST22,C,ST22-009,ビスタ,Vista,50 円,https://card.yuyu-tei.jp/opc/100_140/st22/10017.jpg
ST22,C,ST22-010,ポートガス・D・エース,Portgas.D.Ace,120 円,https://card.yuyu-tei.jp/opc/100_140/st22/10019.jpg
ST22,C,ST22-011,ホワイティベイ,Whitey Bay,120 円,https://card.yuyu-tei.jp/opc/100_140/st22/10021.jpg
ST22,C,ST22-012,マルコ,Marco,50 円,https://card.yuyu-tei.jp/opc/100_140/st22/10023.jpg
ST22,C,ST22-013,リトルオーズJr.,LittleOars Jr.,50 円,https://card.yuyu-tei.jp/opc/100_140/st22/10025.jpg
ST22,C,ST22-014,A・O,A.O.,50 円,https://card.yuyu-tei.jp/opc/100_140/st22/10027.jpg
ST22,C,ST22-015,おれァ“白ひげ”だァア!!!!,I Am Whitebeard!!,220 円,https://card.yuyu-tei.jp/opc/100_140/st22/10029.jpg
ST22,C,ST22-016,取り消せよ……!!!今の言葉……!!!,Take That Back!! Take Back What You Said!!,120 円,https://card.yuyu-tei.jp/opc/100_140/st22/10030.jpg
ST22,C,ST22-017,火拳,Fire Fist,120 円,https://card.yuyu-tei.jp/opc/100_140/st22/10031.jpg
ST22,P-L,ST22-001,ニューゲート＆エース(パラレル),Ace & Newgate,"12,800 円",https://card.yuyu-tei.jp/opc/100_140/st22/10002.jpg
ST22,L,ST22-001,ニューゲート＆エース,Ace & Newgate,120 円,https://card.yuyu-tei.jp/opc/100_140/st22/10001.jpg
ST24,SR,ST24-002,キッド＆キラー,Kid & Killer,120 円,https://card.yuyu-tei.jp/opc/100_140/st24/10002.jpg
ST24,SR,ST24-004,ロー＆ベポ,Law & Bepo,320 円,https://card.yuyu-tei.jp/opc/100_140/st24/10004.jpg
ST24,R,OP07-021,ウルージ(ホロなし),Urouge,50 円,https://card.yuyu-tei.jp/opc/100_140/st24/10007.jpg
ST24,R,OP07-036,鬼気 九刀流 阿修羅 魔九閃(ホロなし),Demonic Aura Nine-Sword Style Asura Demon Nine Flash,50 円,https://card.yuyu-tei.jp/opc/100_140/st24/10008.jpg
ST24,R,EB01-015,スクラッチメン・アプー(ホロなし),Scratchmen Apoo,50 円,https://card.yuyu-tei.jp/opc/100_140/st24/10009.jpg
ST24,C,ST24-001,カポネ・ベッジ,"Capone""Gang""Bege",30 円,https://card.yuyu-tei.jp/opc/100_140/st24/10001.jpg
ST24,C,ST24-003,バジル・ホーキンス,Basil Hawkins,50 円,https://card.yuyu-tei.jp/opc/100_140/st24/10003.jpg
ST24,C,ST24-005,X・ドレーク,X.Drake,30 円,https://card.yuyu-tei.jp/opc/100_140/st24/10005.jpg
ST24,L,OP07-019,ジュエリー・ボニー,Jewelry Bonney,120 円,https://card.yuyu-tei.jp/opc/100_140/st24/10006.jpg
OP06,P-SEC,OP06-118,ロロノア・ゾロ(パラレル),Roronoa Zoro,"7,980 円",https://card.yuyu-tei.jp/opc/100_140/op06/10141.jpg
OP06,P-SEC,OP06-118,ロロノア・ゾロ(パラレル)(スーパーパラレル),Roronoa Zoro,"398,000 円",https://card.yuyu-tei.jp/opc/100_140/op06/10142.jpg
OP06,P-SEC,OP06-119,サンジ(パラレル),Sanji,"2,480 円",https://card.yuyu-tei.jp/opc/100_140/op06/10144.jpg
OP06,SEC,OP06-118,ロロノア・ゾロ,Roronoa Zoro,780 円,https://card.yuyu-tei.jp/opc/100_140/op06/10140.jpg
OP06,SEC,OP06-119,サンジ,Sanji,420 円,https://card.yuyu-tei.jp/opc/100_140/op06/10143.jpg
OP06,P-SR,OP06-007,シャンクス(パラレル),Shanks,"2,980 円",https://card.yuyu-tei.jp/opc/100_140/op06/10009.jpg
OP06,P-SR,OP06-009,シュライヤ(パラレル),Shuraiya,780 円,https://card.yuyu-tei.jp/opc/100_140/op06/10012.jpg
OP06,P-SR,OP06-035,ホーディ・ジョーンズ(パラレル),Hody Jones,980 円,https://card.yuyu-tei.jp/opc/100_140/op06/10044.jpg
OP06,P-SR,OP06-043,アラマキ(パラレル),Aramaki,980 円,https://card.yuyu-tei.jp/opc/100_140/op06/10054.jpg
OP06,P-SR,OP06-062,ヴィンスモーク・ジャッジ(パラレル),Vinsmoke Judge,580 円,https://card.yuyu-tei.jp/opc/100_140/op06/10076.jpg
OP06,P-SR,OP06-069,ヴィンスモーク・レイジュ(パラレル),Vinsmoke Reiju,"1,480 円",https://card.yuyu-tei.jp/opc/100_140/op06/10084.jpg
OP06,P-SR,OP06-086,ゲッコー・モリア(パラレル),Gecko Moria,"1,280 円",https://card.yuyu-tei.jp/opc/100_140/op06/10104.jpg
OP06,P-SR,OP06-093,ペローナ(パラレル),Perona,"2,480 円",https://card.yuyu-tei.jp/opc/100_140/op06/10112.jpg
OP06,P-SR,OP06-106,光月日和(パラレル),Kouzuki Hiyori,"1,980 円",https://card.yuyu-tei.jp/opc/100_140/op06/10127.jpg
OP06,P-SR,OP06-107,光月モモの助(パラレル),Kouzuki Momonosuke,780 円,https://card.yuyu-tei.jp/opc/100_140/op06/10129.jpg
OP06,SR,OP06-007,シャンクス,Shanks,120 円,https://card.yuyu-tei.jp/opc/100_140/op06/10008.jpg
OP06,SR,OP06-009,シュライヤ,Shuraiya,120 円,https://card.yuyu-tei.jp/opc/100_140/op06/10011.jpg
OP06,SR,OP06-035,ホーディ・ジョーンズ,Hody Jones,120 円,https://card.yuyu-tei.jp/opc/100_140/op06/10043.jpg
OP06,SR,OP06-043,アラマキ,Aramaki,120 円,https://card.yuyu-tei.jp/opc/100_140/op06/10053.jpg
